tanggal,kode_kelurahan,wilayah_kota,kecamatan,kelurahan,penerima_vaksinasi,dosis,jumlah_vaksin
7/18/2021,3171071007,JAKARTA PUSAT,TANAH ABANG,KAMPUNG BALI,TENAGA KESEHATAN,Dosis 1,51
7/18/2021,3171081002,JAKARTA PUSAT,JOHAR BARU,KAMPUNG RAWA,TENAGA KESEHATAN,Dosis 1,153
7/18/2021,3171021002,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,TENAGA KESEHATAN,Dosis 1,131
7/18/2021,3171071003,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,TENAGA KESEHATAN,Dosis 1,141
7/18/2021,3171021003,JAKARTA PUSAT,SAWAH BESAR,KARTINI,TENAGA KESEHATAN,Dosis 1,99
7/18/2021,3171071006,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,TENAGA KESEHATAN,Dosis 1,127
7/18/2021,3171011005,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,TENAGA KESEHATAN,Dosis 1,60
7/18/2021,3171031002,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,TENAGA KESEHATAN,Dosis 1,189
7/18/2021,3171071005,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,TENAGA KESEHATAN,Dosis 1,140
7/18/2021,3171061005,JAKARTA PUSAT,MENTENG,KEBON SIRIH,TENAGA KESEHATAN,Dosis 1,61
7/18/2021,3171031001,JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,TENAGA KESEHATAN,Dosis 1,91
7/18/2021,3171041002,JAKARTA PUSAT,SENEN,KENARI,TENAGA KESEHATAN,Dosis 1,154
7/18/2021,3171041004,JAKARTA PUSAT,SENEN,KRAMAT,TENAGA KESEHATAN,Dosis 1,205
7/18/2021,3171041005,JAKARTA PUSAT,SENEN,KWITANG,TENAGA KESEHATAN,Dosis 1,97
7/18/2021,3171021005,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,TENAGA KESEHATAN,Dosis 1,144
7/18/2021,3171061001,JAKARTA PUSAT,MENTENG,MENTENG,TENAGA KESEHATAN,Dosis 1,265
7/18/2021,3171021001,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,TENAGA KESEHATAN,Dosis 1,61
7/18/2021,3171041003,JAKARTA PUSAT,SENEN,PASEBAN,TENAGA KESEHATAN,Dosis 1,404
7/18/2021,3171061002,JAKARTA PUSAT,MENTENG,PEGANGSAAN,TENAGA KESEHATAN,Dosis 1,211
7/18/2021,3171071004,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,TENAGA KESEHATAN,Dosis 1,177
7/18/2021,3171011004,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,TENAGA KESEHATAN,Dosis 1,322
7/18/2021,3171011003,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,TENAGA KESEHATAN,Dosis 1,83
7/18/2021,3171051003,JAKARTA PUSAT,CEMPAKA PUTIH,RAWASARI,TENAGA KESEHATAN,Dosis 1,327
7/18/2021,3171041001,JAKARTA PUSAT,SENEN,SENEN,TENAGA KESEHATAN,Dosis 1,125
7/18/2021,3171031004,JAKARTA PUSAT,KEMAYORAN,SERDANG,TENAGA KESEHATAN,Dosis 1,275
7/18/2021,3171031007,JAKARTA PUSAT,KEMAYORAN,SUMUR BATU,TENAGA KESEHATAN,Dosis 1,259
7/18/2021,3171081004,JAKARTA PUSAT,JOHAR BARU,TANAH TINGGI,TENAGA KESEHATAN,Dosis 1,204
7/18/2021,3171031008,JAKARTA PUSAT,KEMAYORAN,UTAN PANJANG,TENAGA KESEHATAN,Dosis 1,171
7/20/2021,3171071002,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,TENAGA KESEHATAN,Dosis 1,259
7/20/2021,3171041006,JAKARTA PUSAT,SENEN,BUNGUR,TENAGA KESEHATAN,Dosis 1,143
7/20/2021,3171031006,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,TENAGA KESEHATAN,Dosis 1,286
7/20/2021,3171051002,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,TENAGA KESEHATAN,Dosis 1,343
7/20/2021,3171051001,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,TENAGA KESEHATAN,Dosis 1,361
7/20/2021,3171011002,JAKARTA PUSAT,GAMBIR,CIDENG,TENAGA KESEHATAN,Dosis 1,163
7/20/2021,3171061003,JAKARTA PUSAT,MENTENG,CIKINI,TENAGA KESEHATAN,Dosis 1,114
7/20/2021,3171011006,JAKARTA PUSAT,GAMBIR,DURI PULO,TENAGA KESEHATAN,Dosis 1,88
7/20/2021,3171081003,JAKARTA PUSAT,JOHAR BARU,GALUR,TENAGA KESEHATAN,Dosis 1,107
7/20/2021,3171011001,JAKARTA PUSAT,GAMBIR,GAMBIR,TENAGA KESEHATAN,Dosis 1,18
7/20/2021,3171071001,JAKARTA PUSAT,TANAH ABANG,GELORA,TENAGA KESEHATAN,Dosis 1,36
7/20/2021,3171061004,JAKARTA PUSAT,MENTENG,GONDANGDIA,TENAGA KESEHATAN,Dosis 1,117
7/20/2021,3171031005,JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,TENAGA KESEHATAN,Dosis 1,126
7/20/2021,3171021004,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,TENAGA KESEHATAN,Dosis 1,101
7/20/2021,3171031003,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,TENAGA KESEHATAN,Dosis 1,189
7/20/2021,3171081001,JAKARTA PUSAT,JOHAR BARU,JOHAR BARU,TENAGA KESEHATAN,Dosis 1,371
7/20/2021,3171071007,JAKARTA PUSAT,TANAH ABANG,KAMPUNG BALI,TENAGA KESEHATAN,Dosis 1,51
7/20/2021,3171081002,JAKARTA PUSAT,JOHAR BARU,KAMPUNG RAWA,TENAGA KESEHATAN,Dosis 1,153
7/20/2021,3171021002,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,TENAGA KESEHATAN,Dosis 1,131
7/20/2021,3171071003,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,TENAGA KESEHATAN,Dosis 1,142
7/20/2021,3171021003,JAKARTA PUSAT,SAWAH BESAR,KARTINI,TENAGA KESEHATAN,Dosis 1,99
7/20/2021,3171071006,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,TENAGA KESEHATAN,Dosis 1,127
7/20/2021,3171011005,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,TENAGA KESEHATAN,Dosis 1,60
7/20/2021,3171031002,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,TENAGA KESEHATAN,Dosis 1,189
7/20/2021,3171071005,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,TENAGA KESEHATAN,Dosis 1,140
7/20/2021,3171061005,JAKARTA PUSAT,MENTENG,KEBON SIRIH,TENAGA KESEHATAN,Dosis 1,61
7/20/2021,3171031001,JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,TENAGA KESEHATAN,Dosis 1,91
7/20/2021,3171041002,JAKARTA PUSAT,SENEN,KENARI,TENAGA KESEHATAN,Dosis 1,154
7/20/2021,3171041004,JAKARTA PUSAT,SENEN,KRAMAT,TENAGA KESEHATAN,Dosis 1,205
7/20/2021,3171041005,JAKARTA PUSAT,SENEN,KWITANG,TENAGA KESEHATAN,Dosis 1,97
7/20/2021,3171021005,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,TENAGA KESEHATAN,Dosis 1,144
7/20/2021,3171061001,JAKARTA PUSAT,MENTENG,MENTENG,TENAGA KESEHATAN,Dosis 1,265
7/20/2021,3171021001,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,TENAGA KESEHATAN,Dosis 1,61
7/20/2021,3171041003,JAKARTA PUSAT,SENEN,PASEBAN,TENAGA KESEHATAN,Dosis 1,404
7/20/2021,3171061002,JAKARTA PUSAT,MENTENG,PEGANGSAAN,TENAGA KESEHATAN,Dosis 1,211
7/20/2021,3171071004,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,TENAGA KESEHATAN,Dosis 1,177
7/20/2021,3171011004,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,TENAGA KESEHATAN,Dosis 1,322
7/20/2021,3171011003,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,TENAGA KESEHATAN,Dosis 1,83
7/20/2021,3171051003,JAKARTA PUSAT,CEMPAKA PUTIH,RAWASARI,TENAGA KESEHATAN,Dosis 1,327
7/20/2021,3171041001,JAKARTA PUSAT,SENEN,SENEN,TENAGA KESEHATAN,Dosis 1,125
7/20/2021,3171031004,JAKARTA PUSAT,KEMAYORAN,SERDANG,TENAGA KESEHATAN,Dosis 1,275
7/20/2021,3171031007,JAKARTA PUSAT,KEMAYORAN,SUMUR BATU,TENAGA KESEHATAN,Dosis 1,259
7/20/2021,3171081004,JAKARTA PUSAT,JOHAR BARU,TANAH TINGGI,TENAGA KESEHATAN,Dosis 1,204
7/20/2021,3171031008,JAKARTA PUSAT,KEMAYORAN,UTAN PANJANG,TENAGA KESEHATAN,Dosis 1,173
7/21/2021,3171071002,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,TENAGA KESEHATAN,Dosis 1,259
7/21/2021,3171041006,JAKARTA PUSAT,SENEN,BUNGUR,TENAGA KESEHATAN,Dosis 1,143
7/21/2021,3171031006,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,TENAGA KESEHATAN,Dosis 1,286
7/21/2021,3171051002,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,TENAGA KESEHATAN,Dosis 1,343
7/21/2021,3171051001,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,TENAGA KESEHATAN,Dosis 1,361
7/21/2021,3171011002,JAKARTA PUSAT,GAMBIR,CIDENG,TENAGA KESEHATAN,Dosis 1,163
7/21/2021,3171061003,JAKARTA PUSAT,MENTENG,CIKINI,TENAGA KESEHATAN,Dosis 1,114
7/21/2021,3171011006,JAKARTA PUSAT,GAMBIR,DURI PULO,TENAGA KESEHATAN,Dosis 1,88
7/21/2021,3171081003,JAKARTA PUSAT,JOHAR BARU,GALUR,TENAGA KESEHATAN,Dosis 1,107
7/21/2021,3171011001,JAKARTA PUSAT,GAMBIR,GAMBIR,TENAGA KESEHATAN,Dosis 1,18
7/21/2021,3171071001,JAKARTA PUSAT,TANAH ABANG,GELORA,TENAGA KESEHATAN,Dosis 1,36
7/21/2021,3171061004,JAKARTA PUSAT,MENTENG,GONDANGDIA,TENAGA KESEHATAN,Dosis 1,117
7/21/2021,3171031005,JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,TENAGA KESEHATAN,Dosis 1,126
7/21/2021,3171021004,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,TENAGA KESEHATAN,Dosis 1,101
7/21/2021,3171031003,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,TENAGA KESEHATAN,Dosis 1,189
7/21/2021,3171081001,JAKARTA PUSAT,JOHAR BARU,JOHAR BARU,TENAGA KESEHATAN,Dosis 1,371
7/21/2021,3171071007,JAKARTA PUSAT,TANAH ABANG,KAMPUNG BALI,TENAGA KESEHATAN,Dosis 1,51
7/21/2021,3171081002,JAKARTA PUSAT,JOHAR BARU,KAMPUNG RAWA,TENAGA KESEHATAN,Dosis 1,153
7/21/2021,3171021002,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,TENAGA KESEHATAN,Dosis 1,131
7/21/2021,3171071003,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,TENAGA KESEHATAN,Dosis 1,142
7/21/2021,3171021003,JAKARTA PUSAT,SAWAH BESAR,KARTINI,TENAGA KESEHATAN,Dosis 1,99
7/21/2021,3171071006,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,TENAGA KESEHATAN,Dosis 1,127
7/21/2021,3171011005,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,TENAGA KESEHATAN,Dosis 1,60
7/21/2021,3171031002,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,TENAGA KESEHATAN,Dosis 1,189
7/21/2021,3171071005,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,TENAGA KESEHATAN,Dosis 1,140
7/21/2021,3171061005,JAKARTA PUSAT,MENTENG,KEBON SIRIH,TENAGA KESEHATAN,Dosis 1,61
7/21/2021,3171031001,JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,TENAGA KESEHATAN,Dosis 1,91
7/21/2021,3171041002,JAKARTA PUSAT,SENEN,KENARI,TENAGA KESEHATAN,Dosis 1,154
7/21/2021,3171041004,JAKARTA PUSAT,SENEN,KRAMAT,TENAGA KESEHATAN,Dosis 1,205
7/21/2021,3171041005,JAKARTA PUSAT,SENEN,KWITANG,TENAGA KESEHATAN,Dosis 1,97
7/21/2021,3171021005,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,TENAGA KESEHATAN,Dosis 1,144
7/21/2021,3171061001,JAKARTA PUSAT,MENTENG,MENTENG,TENAGA KESEHATAN,Dosis 1,265
7/21/2021,3171021001,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,TENAGA KESEHATAN,Dosis 1,61
7/21/2021,3171041003,JAKARTA PUSAT,SENEN,PASEBAN,TENAGA KESEHATAN,Dosis 1,404
7/21/2021,3171061002,JAKARTA PUSAT,MENTENG,PEGANGSAAN,TENAGA KESEHATAN,Dosis 1,211
7/21/2021,3171071004,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,TENAGA KESEHATAN,Dosis 1,177
7/21/2021,3171011004,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,TENAGA KESEHATAN,Dosis 1,322
7/21/2021,3171011003,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,TENAGA KESEHATAN,Dosis 1,83
7/21/2021,3171051003,JAKARTA PUSAT,CEMPAKA PUTIH,RAWASARI,TENAGA KESEHATAN,Dosis 1,327
7/21/2021,3171041001,JAKARTA PUSAT,SENEN,SENEN,TENAGA KESEHATAN,Dosis 1,125
7/21/2021,3171031004,JAKARTA PUSAT,KEMAYORAN,SERDANG,TENAGA KESEHATAN,Dosis 1,275
7/21/2021,3171031007,JAKARTA PUSAT,KEMAYORAN,SUMUR BATU,TENAGA KESEHATAN,Dosis 1,259
7/21/2021,3171081004,JAKARTA PUSAT,JOHAR BARU,TANAH TINGGI,TENAGA KESEHATAN,Dosis 1,204
7/21/2021,3171031008,JAKARTA PUSAT,KEMAYORAN,UTAN PANJANG,TENAGA KESEHATAN,Dosis 1,173
7/22/2021,3171071002,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,TENAGA KESEHATAN,Dosis 1,260
7/22/2021,3171041006,JAKARTA PUSAT,SENEN,BUNGUR,TENAGA KESEHATAN,Dosis 1,143
7/22/2021,3171031006,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,TENAGA KESEHATAN,Dosis 1,286
7/22/2021,3171051002,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,TENAGA KESEHATAN,Dosis 1,344
7/22/2021,3171051001,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,TENAGA KESEHATAN,Dosis 1,361
7/22/2021,3171011002,JAKARTA PUSAT,GAMBIR,CIDENG,TENAGA KESEHATAN,Dosis 1,163
7/22/2021,3171061003,JAKARTA PUSAT,MENTENG,CIKINI,TENAGA KESEHATAN,Dosis 1,114
7/22/2021,3171011006,JAKARTA PUSAT,GAMBIR,DURI PULO,TENAGA KESEHATAN,Dosis 1,88
7/22/2021,3171081003,JAKARTA PUSAT,JOHAR BARU,GALUR,TENAGA KESEHATAN,Dosis 1,107
7/22/2021,3171011001,JAKARTA PUSAT,GAMBIR,GAMBIR,TENAGA KESEHATAN,Dosis 1,18
7/22/2021,3171071001,JAKARTA PUSAT,TANAH ABANG,GELORA,TENAGA KESEHATAN,Dosis 1,36
7/22/2021,3171061004,JAKARTA PUSAT,MENTENG,GONDANGDIA,TENAGA KESEHATAN,Dosis 1,117
7/22/2021,3171031005,JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,TENAGA KESEHATAN,Dosis 1,126
7/22/2021,3171021004,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,TENAGA KESEHATAN,Dosis 1,101
7/22/2021,3171031003,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,TENAGA KESEHATAN,Dosis 1,189
7/22/2021,3171081001,JAKARTA PUSAT,JOHAR BARU,JOHAR BARU,TENAGA KESEHATAN,Dosis 1,371
7/22/2021,3171071007,JAKARTA PUSAT,TANAH ABANG,KAMPUNG BALI,TENAGA KESEHATAN,Dosis 1,51
7/22/2021,3171081002,JAKARTA PUSAT,JOHAR BARU,KAMPUNG RAWA,TENAGA KESEHATAN,Dosis 1,153
7/22/2021,3171021002,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,TENAGA KESEHATAN,Dosis 1,132
7/22/2021,3171071003,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,TENAGA KESEHATAN,Dosis 1,142
7/22/2021,3171021003,JAKARTA PUSAT,SAWAH BESAR,KARTINI,TENAGA KESEHATAN,Dosis 1,99
7/22/2021,3171071006,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,TENAGA KESEHATAN,Dosis 1,127
7/22/2021,3171011005,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,TENAGA KESEHATAN,Dosis 1,60
7/22/2021,3171031002,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,TENAGA KESEHATAN,Dosis 1,189
7/22/2021,3171071005,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,TENAGA KESEHATAN,Dosis 1,141
7/22/2021,3171061005,JAKARTA PUSAT,MENTENG,KEBON SIRIH,TENAGA KESEHATAN,Dosis 1,61
7/22/2021,3171031001,JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,TENAGA KESEHATAN,Dosis 1,91
7/22/2021,3171041002,JAKARTA PUSAT,SENEN,KENARI,TENAGA KESEHATAN,Dosis 1,154
7/22/2021,3171041004,JAKARTA PUSAT,SENEN,KRAMAT,TENAGA KESEHATAN,Dosis 1,205
7/22/2021,3171041005,JAKARTA PUSAT,SENEN,KWITANG,TENAGA KESEHATAN,Dosis 1,97
7/22/2021,3171021005,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,TENAGA KESEHATAN,Dosis 1,144
7/22/2021,3171061001,JAKARTA PUSAT,MENTENG,MENTENG,TENAGA KESEHATAN,Dosis 1,265
7/22/2021,3171021001,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,TENAGA KESEHATAN,Dosis 1,61
7/22/2021,3171041003,JAKARTA PUSAT,SENEN,PASEBAN,TENAGA KESEHATAN,Dosis 1,404
7/22/2021,3171061002,JAKARTA PUSAT,MENTENG,PEGANGSAAN,TENAGA KESEHATAN,Dosis 1,212
7/22/2021,3171071004,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,TENAGA KESEHATAN,Dosis 1,178
7/22/2021,3171011004,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,TENAGA KESEHATAN,Dosis 1,322
7/22/2021,3171011003,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,TENAGA KESEHATAN,Dosis 1,83
7/22/2021,3171051003,JAKARTA PUSAT,CEMPAKA PUTIH,RAWASARI,TENAGA KESEHATAN,Dosis 1,328
7/22/2021,3171041001,JAKARTA PUSAT,SENEN,SENEN,TENAGA KESEHATAN,Dosis 1,127
7/22/2021,3171031004,JAKARTA PUSAT,KEMAYORAN,SERDANG,TENAGA KESEHATAN,Dosis 1,275
7/22/2021,3171031007,JAKARTA PUSAT,KEMAYORAN,SUMUR BATU,TENAGA KESEHATAN,Dosis 1,260
7/22/2021,3171081004,JAKARTA PUSAT,JOHAR BARU,TANAH TINGGI,TENAGA KESEHATAN,Dosis 1,204
7/22/2021,3171031008,JAKARTA PUSAT,KEMAYORAN,UTAN PANJANG,TENAGA KESEHATAN,Dosis 1,173
7/23/2021,3171071002,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,TENAGA KESEHATAN,Dosis 1,261
7/23/2021,3171041006,JAKARTA PUSAT,SENEN,BUNGUR,TENAGA KESEHATAN,Dosis 1,143
7/23/2021,3171031006,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,TENAGA KESEHATAN,Dosis 1,286
7/23/2021,3171051002,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,TENAGA KESEHATAN,Dosis 1,344
7/23/2021,3171051001,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,TENAGA KESEHATAN,Dosis 1,361
7/23/2021,3171011002,JAKARTA PUSAT,GAMBIR,CIDENG,TENAGA KESEHATAN,Dosis 1,163
7/23/2021,3171061003,JAKARTA PUSAT,MENTENG,CIKINI,TENAGA KESEHATAN,Dosis 1,114
7/23/2021,3171011006,JAKARTA PUSAT,GAMBIR,DURI PULO,TENAGA KESEHATAN,Dosis 1,88
7/23/2021,3171081003,JAKARTA PUSAT,JOHAR BARU,GALUR,TENAGA KESEHATAN,Dosis 1,107
7/23/2021,3171011001,JAKARTA PUSAT,GAMBIR,GAMBIR,TENAGA KESEHATAN,Dosis 1,18
7/23/2021,3171071001,JAKARTA PUSAT,TANAH ABANG,GELORA,TENAGA KESEHATAN,Dosis 1,36
7/23/2021,3171061004,JAKARTA PUSAT,MENTENG,GONDANGDIA,TENAGA KESEHATAN,Dosis 1,118
7/23/2021,3171031005,JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,TENAGA KESEHATAN,Dosis 1,126
7/23/2021,3171021004,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,TENAGA KESEHATAN,Dosis 1,101
7/23/2021,3171031003,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,TENAGA KESEHATAN,Dosis 1,189
7/23/2021,3171081001,JAKARTA PUSAT,JOHAR BARU,JOHAR BARU,TENAGA KESEHATAN,Dosis 1,371
7/23/2021,3171071007,JAKARTA PUSAT,TANAH ABANG,KAMPUNG BALI,TENAGA KESEHATAN,Dosis 1,51
7/23/2021,3171081002,JAKARTA PUSAT,JOHAR BARU,KAMPUNG RAWA,TENAGA KESEHATAN,Dosis 1,154
7/23/2021,3171021002,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,TENAGA KESEHATAN,Dosis 1,132
7/23/2021,3171071003,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,TENAGA KESEHATAN,Dosis 1,142
7/23/2021,3171021003,JAKARTA PUSAT,SAWAH BESAR,KARTINI,TENAGA KESEHATAN,Dosis 1,100
7/23/2021,3171071006,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,TENAGA KESEHATAN,Dosis 1,127
7/23/2021,3171011005,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,TENAGA KESEHATAN,Dosis 1,60
7/23/2021,3171031002,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,TENAGA KESEHATAN,Dosis 1,190
7/23/2021,3171071005,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,TENAGA KESEHATAN,Dosis 1,142
7/23/2021,3171061005,JAKARTA PUSAT,MENTENG,KEBON SIRIH,TENAGA KESEHATAN,Dosis 1,61
7/23/2021,3171031001,JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,TENAGA KESEHATAN,Dosis 1,91
7/23/2021,3171041002,JAKARTA PUSAT,SENEN,KENARI,TENAGA KESEHATAN,Dosis 1,155
7/23/2021,3171041004,JAKARTA PUSAT,SENEN,KRAMAT,TENAGA KESEHATAN,Dosis 1,205
7/23/2021,3171041005,JAKARTA PUSAT,SENEN,KWITANG,TENAGA KESEHATAN,Dosis 1,97
7/23/2021,3171021005,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,TENAGA KESEHATAN,Dosis 1,144
7/23/2021,3171061001,JAKARTA PUSAT,MENTENG,MENTENG,TENAGA KESEHATAN,Dosis 1,264
7/23/2021,3171021001,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,TENAGA KESEHATAN,Dosis 1,62
7/23/2021,3171041003,JAKARTA PUSAT,SENEN,PASEBAN,TENAGA KESEHATAN,Dosis 1,404
7/23/2021,3171061002,JAKARTA PUSAT,MENTENG,PEGANGSAAN,TENAGA KESEHATAN,Dosis 1,212
7/23/2021,3171071004,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,TENAGA KESEHATAN,Dosis 1,178
7/23/2021,3171011004,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,TENAGA KESEHATAN,Dosis 1,322
7/23/2021,3171011003,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,TENAGA KESEHATAN,Dosis 1,83
7/23/2021,3171051003,JAKARTA PUSAT,CEMPAKA PUTIH,RAWASARI,TENAGA KESEHATAN,Dosis 1,328
7/23/2021,3171041001,JAKARTA PUSAT,SENEN,SENEN,TENAGA KESEHATAN,Dosis 1,127
7/23/2021,3171031004,JAKARTA PUSAT,KEMAYORAN,SERDANG,TENAGA KESEHATAN,Dosis 1,276
7/23/2021,3171031007,JAKARTA PUSAT,KEMAYORAN,SUMUR BATU,TENAGA KESEHATAN,Dosis 1,260
7/23/2021,3171081004,JAKARTA PUSAT,JOHAR BARU,TANAH TINGGI,TENAGA KESEHATAN,Dosis 1,204
7/23/2021,3171031008,JAKARTA PUSAT,KEMAYORAN,UTAN PANJANG,TENAGA KESEHATAN,Dosis 1,173
7/24/2021,3171071002,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,TENAGA KESEHATAN,Dosis 1,261
7/24/2021,3171041006,JAKARTA PUSAT,SENEN,BUNGUR,TENAGA KESEHATAN,Dosis 1,143
7/24/2021,3171031006,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,TENAGA KESEHATAN,Dosis 1,287
7/24/2021,3171051002,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,TENAGA KESEHATAN,Dosis 1,344
7/24/2021,3171051001,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,TENAGA KESEHATAN,Dosis 1,361
7/24/2021,3171011002,JAKARTA PUSAT,GAMBIR,CIDENG,TENAGA KESEHATAN,Dosis 1,163
7/24/2021,3171061003,JAKARTA PUSAT,MENTENG,CIKINI,TENAGA KESEHATAN,Dosis 1,114
7/24/2021,3171011006,JAKARTA PUSAT,GAMBIR,DURI PULO,TENAGA KESEHATAN,Dosis 1,88
7/24/2021,3171081003,JAKARTA PUSAT,JOHAR BARU,GALUR,TENAGA KESEHATAN,Dosis 1,108
7/24/2021,3171011001,JAKARTA PUSAT,GAMBIR,GAMBIR,TENAGA KESEHATAN,Dosis 1,18
7/24/2021,3171071001,JAKARTA PUSAT,TANAH ABANG,GELORA,TENAGA KESEHATAN,Dosis 1,36
7/24/2021,3171061004,JAKARTA PUSAT,MENTENG,GONDANGDIA,TENAGA KESEHATAN,Dosis 1,118
7/24/2021,3171031005,JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,TENAGA KESEHATAN,Dosis 1,126
7/24/2021,3171021004,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,TENAGA KESEHATAN,Dosis 1,102
7/24/2021,3171031003,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,TENAGA KESEHATAN,Dosis 1,189
